planning_id,last_update_date,updated_within_year
265098,2026-03-19,yes
265096,2026-03-19,yes
265094,2026-03-19,yes
265091,2026-01-17,yes
265090,,no
265088,,no
265083,,no
265080,2026-03-10,yes
265081,,no
265076,2026-03-19,yes
265075,2026-03-28,yes
265074,,no
265072,2026-03-28,yes
265071,,no
265070,2026-02-28,yes
265069,2025-11-18,yes
265068,,no
265066,2026-02-21,yes
265063,2026-03-28,yes
265062,2026-03-28,yes
265061,2026-02-21,yes
265060,,no
265055,,no
265054,2026-03-28,yes
265046,2026-02-28,yes
265039,2026-03-10,yes
265038,2026-03-10,yes
265037,2026-03-10,yes
265035,2026-02-28,yes
310980,,no
310981,,no
265032,2026-03-10,yes
265029,2026-02-28,yes
9218,,no
310928,,no
310930,,no
307414,2026-04-03,yes
307420,,no
307422,,no
307424,,no
24402,,no
38969,,no
43788,,no
52233,,no
242337,2026-02-27,yes
57800,,no
57901,,no
310923,,no
310919,,no
310920,,no
61529,,no
247337,2026-03-19,yes
64084,,no
68421,,no
310914,,no
218088,2026-02-27,yes
77243,,no
218086,2026-03-09,yes
310851,,no
310873,2025-12-13,yes
310876,,no
310890,,no
310891,,no
310817,,no
310775,,no
80811,,no
80950,,no
85792,,no
85878,,no
85896,,no
85999,,no
86027,,no
86044,,no
218074,,no
90411,,no
90427,,no
90449,,no
90468,,no
93587,,no
96876,,no
98974,,no
100008,,no
100820,,no
100913,,no
103804,,no
108276,,no
108493,,no
109014,,no
112616,,no
112617,,no
244760,,no
244751,,no
244750,,no
116117,,no
117418,,no
117641,,no
117754,,no
117928,,no
118120,,no
119509,,no
119528,,no
121796,,no
121838,,no
122023,,no
122159,,no
122486,,no
122515,,no
124866,,no
124889,,no
124890,,no
124904,,no
128217,,no
128387,,no
128448,,no
128495,,no
128576,,no
129861,,no
129865,,no
129920,,no
134137,,no
134127,,no
131758,,no
131991,,no
132113,,no
132124,,no
134372,,no
134394,,no
134399,,no
134429,,no
134437,,no
134440,2026-04-05,yes
134441,2026-04-05,yes
134442,,no
135356,,no
135409,,no
136888,,no
136889,,no
140200,,no
140257,,no
140372,,no
140431,,no
140462,,no
140466,,no
140513,,no
140546,,no
141455,,no
141483,,no
141610,,no
141626,,no
141668,,no
144302,2026-02-14,yes
144305,,no
144321,,no
144322,2025-11-15,yes
144387,2026-02-21,yes
144389,,no
144412,,no
144416,2026-02-14,yes
145544,,no
145668,2025-11-16,yes
145671,2025-11-14,yes
145674,2026-02-14,yes
197318,,no
146001,2025-11-14,yes
146214,2026-03-19,yes
146570,,no
243964,2026-03-19,yes
243955,2026-02-21,yes
243952,2026-02-14,yes
148657,2026-02-14,yes
243936,,no
150006,2026-03-19,yes
150015,2026-02-28,yes
150091,2026-02-21,yes
150146,2026-02-28,yes
150246,2025-11-17,yes
150420,2025-11-14,yes
243902,,no
152583,2026-02-28,yes
152674,2026-02-28,yes
152801,2026-03-19,yes
152808,2026-03-19,yes
152838,,no
152856,2026-03-10,yes
152857,2025-11-14,yes
154039,2026-02-28,yes
154040,2026-02-14,yes
243876,,no
154917,2026-03-19,yes
154946,2026-02-14,yes
154951,,no
154976,2025-11-16,yes
154979,2026-03-19,yes
154990,2026-02-21,yes
214262,,no
156078,2026-02-14,yes
156177,2026-03-19,yes
156338,2026-02-21,yes
157386,2026-03-19,yes
157491,,no
157497,,no
157513,2026-03-28,yes
157573,2026-02-28,yes
157611,2026-02-28,yes
197320,2026-02-28,yes
214238,2026-03-19,yes
214237,,no
158561,2026-03-19,yes
158592,2026-02-14,yes
159527,2025-11-16,yes
159529,,no
159539,2025-11-16,yes
214162,,no
160491,2026-02-28,yes
160566,2026-02-28,yes
160594,2026-02-21,yes
160618,2026-02-28,yes
161429,2026-03-19,yes
161430,2026-02-28,yes
161431,2026-03-19,yes
161432,2026-02-28,yes
161440,2026-02-28,yes
161459,2025-11-16,yes
162661,2026-02-14,yes
162672,,no
162676,2026-03-19,yes
162681,2026-03-19,yes
162684,,no
162685,2026-02-14,yes
163660,2026-02-28,yes
163696,2026-02-28,yes
163717,2026-03-19,yes
163728,2026-03-19,yes
163766,2026-03-19,yes
163774,2026-03-19,yes
163789,,no
165004,2026-03-19,yes
165129,2026-02-21,yes
165175,,no
165188,2026-03-19,yes
165190,,no
165211,2026-02-28,yes
165306,2026-03-19,yes
165314,2026-02-28,yes
165317,2026-03-19,yes
165319,2026-02-21,yes
165485,2025-11-16,yes
165487,,no
165580,2025-11-16,yes
165693,2026-03-19,yes
165722,,no
165752,2026-03-19,yes
165942,2026-03-19,yes
165980,2025-11-19,yes
165988,2026-02-14,yes
166001,2026-02-14,yes
166018,,no
166046,2026-03-19,yes
213960,2026-03-19,yes
169322,2026-03-19,yes
169452,,no
169523,2026-03-19,yes
169572,2026-02-28,yes
169614,2026-03-19,yes
169625,,no
169631,2026-01-10,yes
169643,2026-02-14,yes
169647,2026-03-19,yes
169654,2026-02-28,yes
171614,,no
171622,2026-02-14,yes
171635,,no
171640,2026-03-19,yes
171709,2026-02-21,yes
171710,2026-02-21,yes
171729,2026-03-01,yes
213727,,no
252412,,no
174698,,no
174750,2026-03-01,yes
174772,2026-02-21,yes
174773,2026-02-21,yes
174787,2026-02-21,yes
174788,2026-02-14,yes
174792,,no
174803,2026-02-14,yes
175087,,no
175134,2026-02-21,yes
213567,2026-02-28,yes
175289,,no
175293,2026-03-10,yes
175313,2026-03-01,yes
175326,2026-03-19,yes
175437,,no
175456,2026-02-15,yes
175460,2026-03-01,yes
175461,,no
175468,2026-03-01,yes
175480,2026-01-17,yes
176587,,no
176597,2026-02-14,yes
176608,2026-03-01,yes
243863,2026-03-28,yes
243864,2026-03-28,yes
178625,2026-03-19,yes
179834,,no
179846,2026-03-28,yes
179849,2026-02-28,yes
179882,,no
179903,2026-03-10,yes
179945,,no
179946,,no
179947,2026-03-28,yes
180351,2026-02-28,yes
180370,2026-02-28,yes
180373,2026-03-19,yes
180392,2026-02-14,yes
180410,,no
180412,,no
180510,,no
180558,,no
180572,,no
180718,2026-02-28,yes
181723,2026-03-19,yes
181730,,no
181736,2026-03-28,yes
181738,2026-02-28,yes
244735,,no
181895,,no
181926,2026-03-28,yes
182017,2025-11-16,yes
183683,2026-03-10,yes
183684,,no
183685,,no
183753,,no
183777,,no
184089,2026-03-19,yes
184115,2026-02-28,yes
184124,,no
184137,2026-02-28,yes
184140,2026-03-19,yes
184169,2026-02-28,yes
184320,2026-03-19,yes
184333,,no
251932,,no
185489,,no
185551,,no
185749,2025-11-16,yes
185753,2025-11-16,yes
185806,,no
185809,,no
185811,,no
185917,,no
185918,2026-03-10,yes
240954,2026-03-19,yes
240947,2026-03-10,yes
251917,2026-03-19,yes
197315,2026-02-28,yes
187594,,no
188060,,no
188098,,no
188135,,no
188165,,no
189210,,no
189232,2026-03-19,yes
189242,2026-02-15,yes
189296,2026-03-01,yes
189306,2026-03-10,yes
189308,2026-03-01,yes
189316,2026-02-15,yes
189323,2026-03-19,yes
189330,2026-03-01,yes
189332,2026-03-10,yes
189349,2026-03-19,yes
189352,,no
189358,2026-03-19,yes
189359,2026-03-19,yes
189361,2026-03-01,yes
189372,2026-03-10,yes
189373,2026-03-01,yes
189379,2026-03-10,yes
189388,2026-03-19,yes
189410,,no
189455,2025-11-29,yes
189478,,no
240778,2026-03-09,yes
189907,2025-11-18,yes
189917,2026-03-19,yes
274105,2026-03-19,yes
189949,2026-02-14,yes
189978,,no
190075,,no
190076,,no
190124,,no
190132,,no
251893,2026-03-19,yes
190802,2026-02-14,yes
190811,,no
190813,2026-03-19,yes
190924,2026-03-19,yes
190940,,no
190960,,no
191042,2026-01-17,yes
191064,2026-03-19,yes
251881,,no
251877,2026-03-19,yes
191489,2026-03-28,yes
191525,2026-03-19,yes
251872,,no
194498,2026-02-28,yes
197311,2026-02-21,yes
191592,2026-02-28,yes
244724,,no
251861,,no
251860,,no
192100,,no
192101,,no
192105,2026-03-28,yes
192112,2026-03-10,yes
192220,,no
192233,,no
192242,2026-03-28,yes
192248,2026-03-19,yes
192253,2026-03-19,yes
251845,2026-02-28,yes
192649,2026-03-28,yes
192650,2026-03-19,yes
313409,,no
192742,,no
192869,2026-02-28,yes
192871,,no
240761,,no
240756,,no
251836,,no
251832,2026-03-10,yes
240744,,no
193345,,no
193350,2026-03-19,yes
193360,,no
244715,,no
193592,2026-02-14,yes
260605,,no
251825,2026-02-21,yes
251823,2026-02-28,yes
251821,,no
194063,2026-02-28,yes
194098,2026-03-10,yes
194118,,no
194123,,no
244707,,no
194837,2026-03-19,yes
194859,2026-02-14,yes
194863,,no
195096,2026-03-10,yes
195167,2026-02-28,yes
195168,,no
195458,,no
196237,2026-03-19,yes
196269,2026-02-14,yes
196281,2026-02-28,yes
196283,2026-03-10,yes
196286,2026-02-14,yes
196392,2026-02-14,yes
196394,2026-02-14,yes
196497,,no
197144,2026-02-14,yes
197172,2026-03-19,yes
197173,,no
197209,,no
197325,2026-02-21,yes
197860,2026-03-19,yes
197883,2026-03-19,yes
197953,,no
198141,,no
198238,,no
198243,2026-03-19,yes
199116,,no
199119,2026-02-14,yes
199123,2026-03-19,yes
199164,2026-03-28,yes
199196,,no
199684,2026-02-28,yes
199693,2026-02-14,yes
199694,,no
199709,2026-03-10,yes
199721,2026-03-19,yes
199778,,no
199787,,no
199788,2025-11-22,yes
199823,,no
199849,,no
200785,2026-03-19,yes
200794,2026-03-28,yes
200815,2026-02-28,yes
200817,,no
200822,2026-03-28,yes
200830,,no
200833,,no
200840,2026-03-28,yes
200841,2026-03-19,yes
200842,2026-03-19,yes
200843,2026-03-19,yes
200849,2026-02-28,yes
200952,,no
200967,2026-03-28,yes
201006,2026-03-28,yes
201023,2026-03-28,yes
201668,,no
201678,,no
201680,,no
201865,2026-03-19,yes
201882,,no
201909,2026-03-19,yes
201932,2026-03-19,yes
201963,2026-03-28,yes
201973,2026-02-21,yes
201974,2026-02-14,yes
202008,2026-03-28,yes
260519,2026-03-28,yes
202536,,no
202538,,no
